Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
,606,0,686,49,132,128,94,85,74,29,15,0,311,289,6,150,15,131,161,25,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,85,77,101,107,116,95,72,0,332,353,1,217,51,229,146,32,11
11/18/2020,2326,17,120,291,566,451,388,295,196,98,41,0,1180,1138,8,842,63,466,555,86,314,0,0,2,0,2,4,3,6,0,9,8,0,8,0,2,7,0,0,2,7,5,10,23,18,28,27,0,56,64,0,36,6,49,25,4,0
02/04/2021,538,9,51,68,138,122,68,64,45,21,12,0,269,268,1,160,21,119,164,23,51,0,0,0,0,1,1,2,5,0,5,4,0,1,1,4,3,0,0,1,1,7,4,14,13,9,2,0,32,19,0,13,2,24,11,1,0
03/09/2021,333,5,22,42,109,61,37,40,20,12,12,0,166,166,1,79,16,64,103,30,41,0,0,0,0,3,0,1,1,0,4,1,0,1,0,3,1,0,0,1,1,3,4,4,3,5,1,0,13,9,0,7,1,9,3,2,0
12/24/2020,620,21,49,69,128,129,83,84,66,32,29,0,305,311,4,172,29,112,206,27,74,0,0,0,0,0,7,5,9,0,8,13,0,6,2,9,4,0,0,2,1,3,8,6,9,8,12,0,23,26,0,15,2,17,14,1,0
03/04/2022,118,1,13,29,21,25,15,11,7,6,4,0,70,47,1,24,3,9,57,8,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,3,2,1,1,0,7,6,0,3,0,1,7,1,1
05/17/2020,326,41,97,17,53,58,37,65,44,22,30,0,158,167,1,157,7,88,33,14,27,0,0,1,1,3,14,9,13,0,16,25,0,18,2,13,7,1,0,0,3,5,11,22,26,17,13,0,45,52,0,39,3,29,17,3,6
10/29/2021,370,2,18,80,65,72,67,37,29,14,6,0,183,186,1,74,24,72,105,52,43,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,2,3,5,5,1,0,7,11,0,5,0,6,5,2,0
03/07/2021,173,4,14,16,42,39,33,24,11,5,3,0,83,90,0,48,16,28,62,11,8,0,0,0,0,1,1,0,2,0,2,2,0,0,0,2,2,0,0,1,0,2,1,3,0,3,4,0,7,7,0,9,1,2,2,0,0
09/18/2021,309,4,26,62,61,69,41,38,23,11,4,0,164,145,0,72,17,78,83,34,25,0,0,0,0,0,0,1,3,0,3,1,0,0,0,1,3,0,0,2,2,6,0,8,5,2,1,0,14,12,0,6,0,10,6,3,1
