"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population.x","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population.y"
"60666",50,"12/12/2021",2021-12-18,0,6,0,0,0,0,0,0,0,0,124,0,74,0,0
"60604",50,"12/12/2021",2021-12-18,21,162,2685,20716.1,0,0,0,0,782,4,1983,0,773,0.939,823
"60606",51,"12/19/2021",2021-12-25,78,583,2515,18800.4,0,4,0,129,3101,0,7996,0,3323,1.01,3287
"60606",52,"12/26/2021",2022-01-01,80,663,2580,21380.2,1,5,32.2,161.2,3101,0,8106,0,3329,1.01,3287
"60608",2,"01/09/2022",2022-01-15,725,14298,915,18051.9,2,186,2.5,234.8,79205,250,123613,30,50201,0.627,80059
"60608",4,"01/23/2022",2022-01-29,184,14832,232,18726.1,3,192,3.8,242.4,79205,256,127544,69,51084,0.638,80059
"60608",7,"02/13/2022",2022-02-19,53,15050,67,19001.3,1,194,1.3,244.9,79205,110,131085,50,52224,0.652,80059
"60602",50,"12/12/2021",2021-12-18,25,180,2010,14469.5,0,3,0,241.2,1244,7,3412,3,1239,1.08,1145
"60602",51,"12/19/2021",2021-12-25,27,207,2170,16639.9,0,3,0,241.2,1244,0,3465,0,1244,1.09,1145
"60602",52,"12/26/2021",2022-01-01,38,245,3055,19694.5,0,3,0,241.2,1244,0,3518,0,1253,1.09,1145
"60610",50,"12/12/2021",2021-12-18,492,5359,1261,13734.3,0,37,0,94.8,39019,153,69521,14,28301,0.698,40548
"60610",51,"12/19/2021",2021-12-25,671,6030,1720,15454,0,37,0,94.8,39019,1,70807,0,28455,0.702,40548
"60610",52,"12/26/2021",2022-01-01,507,6537,1299,16753.4,0,37,0,94.8,39019,7,71763,0,28581,0.705,40548
"60612",50,"12/12/2021",2021-12-18,277,4951,807,14429.8,1,78,2.9,227.3,34311,75,44565,14,19078,0.566,33735
"60612",52,"12/26/2021",2022-01-01,732,6227,2133,18148.7,2,80,5.8,233.2,34311,3,46327,1,19380,0.574,33735
"60612",2,"01/09/2022",2022-01-15,310,7135,904,20795.1,1,86,2.9,250.6,34311,79,48251,9,19746,0.585,33735
"60612",4,"01/23/2022",2022-01-29,82,7377,239,21500.4,3,92,8.7,268.1,34311,46,49894,11,20204,0.599,33735
"60612",7,"02/13/2022",2022-02-19,22,7468,64,21765.6,0,93,0,271.1,34311,41,51449,18,20815,0.617,33735
"60601",50,"12/12/2021",2021-12-18,198,1889,1349,12872.2,0,12,0,81.8,14675,56,30360,6,12063,0.8,15083
"60601",51,"12/19/2021",2021-12-25,416,2305,2835,15707,0,12,0,81.8,14675,1,30944,0,12102,0.802,15083
"60601",52,"12/26/2021",2022-01-01,600,2905,4089,19795.6,0,12,0,81.8,14675,7,31525,0,12156,0.806,15083
"60601",2,"01/09/2022",2022-01-15,254,3765,1731,25655.9,1,13,6.8,88.6,14675,41,32454,3,12258,0.813,15083
"60601",6,"02/06/2022",2022-02-12,30,4067,204,27713.8,0,13,0,88.6,14675,23,33732,8,12427,0.824,15083
"60601",7,"02/13/2022",2022-02-19,19,4086,130,27843.3,0,13,0,88.6,14675,12,33852,2,12451,0.825,15083
"60614",2,"01/09/2022",2022-01-15,550,12315,771,17270.2,3,108,4.2,151.5,71308,225,128384,11,49980,0.695,71954
"60614",4,"01/23/2022",2022-01-29,229,12822,321,17981.2,0,109,0,152.9,71308,98,130321,20,50298,0.699,71954
"60602",2,"01/09/2022",2022-01-15,17,309,1367,24839.2,0,3,0,241.2,1244,8,3603,2,1266,1.11,1145
"60602",7,"02/13/2022",2022-02-19,2,329,161,26446.9,0,3,0,241.2,1244,3,3732,1,1284,1.12,1145
"60603",6,"02/06/2022",2022-02-12,2,254,170,21635.4,0,0,0,0,1174,0,4140,0,1419,1.35,1052
"60603",7,"02/13/2022",2022-02-19,3,257,256,21891,0,0,0,0,1174,4,4177,0,1421,1.35,1052
"60604",2,"01/09/2022",2022-01-15,17,302,2174,38618.9,0,0,0,0,782,2,2132,1,797,0.968,823
"60603",50,"12/12/2021",2021-12-18,22,134,1874,11414,0,0,0,0,1174,8,3702,0,1374,1.31,1052
"60604",4,"01/23/2022",2022-01-29,8,325,1023,41560.1,0,0,0,0,782,3,2193,0,806,0.979,823
"60604",52,"12/26/2021",2022-01-01,47,237,6010,30306.9,0,0,0,0,782,0,2058,0,784,0.953,823
"60603",52,"12/26/2021",2022-01-01,31,189,2640,16098.8,0,0,0,0,1174,1,3830,0,1387,1.32,1052
"60603",2,"01/09/2022",2022-01-15,18,242,1533,20613.3,0,0,0,0,1174,3,3943,0,1392,1.32,1052
"60605",7,"02/13/2022",2022-02-19,26,4815,94,17497,0,15,0,54.5,27519,19,60539,4,22964,0.79,29060
"60606",50,"12/12/2021",2021-12-18,44,505,1419,16285.1,0,4,0,129,3101,21,7833,1,3308,1.01,3287
"60606",2,"01/09/2022",2022-01-15,49,780,1580,25153.2,1,6,32.2,193.5,3101,10,8352,1,3358,1.02,3287
"60606",6,"02/06/2022",2022-02-12,1,826,32,26636.6,0,7,0,225.7,3101,3,8629,0,3393,1.03,3287
"60606",7,"02/13/2022",2022-02-19,5,831,161,26797.8,1,8,32.2,258,3101,5,8658,0,3400,1.03,3287
"60607",50,"12/12/2021",2021-12-18,338,3918,1142,13240.5,0,13,0,43.9,29591,106,53041,14,21936,0.749,29293
"60607",51,"12/19/2021",2021-12-25,537,4455,1815,15055.3,0,13,0,43.9,29591,1,54129,0,22064,0.753,29293
"60607",52,"12/26/2021",2022-01-01,538,4993,1818,16873.4,0,13,0,43.9,29591,1,54914,1,22170,0.757,29293
"60607",2,"01/09/2022",2022-01-15,268,5701,906,19266,0,14,0,47.3,29591,66,56597,17,22407,0.765,29293
"60607",6,"02/06/2022",2022-02-12,54,6047,182,20435.3,0,16,0,54.1,29591,34,58504,9,22823,0.779,29293
