"Zip Code","Date","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population"
"60603","12/15/2020",0,0,0,0,0,1052
"60603","12/16/2020",0,0,0,0,0,1052
"60603","12/17/2020",7,7,0,0,0,1052
"60601","01/28/2021",98,1781,23,532,0.035,15083
"60601","04/26/2021",220,14133,137,5599,0.371,15083
"60601","05/06/2021",206,16280,163,7181,0.476,15083
"60601","05/21/2021",157,18494,109,8826,0.585,15083
"60601","06/12/2021",41,19879,26,9767,0.648,15083
"60601","06/24/2021",47,20346,23,10048,0.666,15083
"60601","07/04/2021",0,20640,0,10199,0.676,15083
"60601","01/21/2022",85,32840,6,12307,0.816,15083
"60601","02/03/2022",35,33392,6,12371,0.82,15083
"60601","02/28/2022",16,34024,0,12474,0.827,15083
"60601","03/03/2022",11,34060,2,12483,0.828,15083
"60601","03/04/2022",17,34077,1,12484,0.828,15083
"60601","03/05/2022",13,34090,3,12487,0.828,15083
"60601","03/06/2022",10,34100,1,12488,0.828,15083
"60601","03/07/2022",19,34119,1,12489,0.828,15083
"60601","03/08/2022",14,34133,1,12490,0.828,15083
"60601","03/10/2022",18,34159,0,12495,0.828,15083
"60601","03/12/2022",9,34187,1,12498,0.829,15083
"60601","03/13/2022",5,34192,2,12500,0.829,15083
"60602","01/20/2022",8,3631,2,1270,1.11,1145
"60603","03/07/2022",3,4244,0,1424,1.35,1052
"60601","01/06/2021",26,559,11,20,0.001,15083
"60601","07/14/2021",17,20907,5,10340,0.686,15083
"60601","07/23/2021",35,21157,12,10447,0.693,15083
"60601","08/25/2021",38,22085,10,10803,0.716,15083
"60601","10/22/2021",109,24585,14,11260,0.747,15083
"60602","02/03/2022",2,3682,0,1277,1.12,1145
"60602","02/04/2022",8,3690,1,1278,1.12,1145
"60602","02/05/2022",3,3693,0,1278,1.12,1145
"60603","11/11/2021",12,3298,1,1332,1.27,1052
"60602","03/07/2022",2,3763,0,1286,1.12,1145
"60602","03/08/2022",1,3764,0,1286,1.12,1145
"60602","03/13/2022",1,3778,0,1288,1.12,1145
"60603","03/12/2022",1,4256,0,1424,1.35,1052
"60603","03/13/2022",1,4257,1,1425,1.35,1052
"60604","11/02/2021",7,1702,1,734,0.892,823
"60604","11/03/2021",10,1712,2,736,0.894,823
"60604","11/04/2021",5,1717,1,737,0.896,823
"60604","11/05/2021",6,1723,2,739,0.898,823
"60604","11/06/2021",3,1726,1,740,0.899,823
